wallet,n_trips,net_pnl,gross_win,gross_loss,wins,losses,avg_roi,med_roi,best_roi,worst_roi,avg_basis,max_basis,last_active,tier,is_current
5uTmKVCi4NqDEecLHTUoDoGEAFFWRmyRkfeH7eYrtXMM,24,2.1649769500000002,2.9612821369999995,0.796305187,16,8,0.5634902643640889,0.2507057111298351,4.716395813468149,-0.6843269542170003,0.3383387539166667,0.883218606,1776516283,RETAIL,0
V4EJdEa4kujVQbQuptHTYorKefV3JFakpPwLQsB6GqD,8,2.154873479,2.218213501,0.06334002200000007,5,3,1.13715908778966,0.18778228312216294,4.9833667882117885,-0.09591602954365464,0.31663155075,0.59341847,1776367481,RETAIL,0
67e5pF6mz1SnpNQcnniBkBPUQnhgyeAg915yA4byQdhF,19,2.15326167,3.869094169,1.715832499,10,9,0.32873020125114094,0.21262982322251367,1.817755687899028,-0.5147611026133581,0.7686131115789474,1.7323741350000001,1776518982,RETAIL,0
HK8sLjvukYLAHdihXMizXkame8SkiiBEXcNtaQGEgjpi,15,2.151053365,3.3520125239999996,1.2009591589999997,9,6,0.49841816364182107,0.033706224355792846,3.941103151716626,-0.5874544241560464,0.6350862256666666,1.146266412,1776422074,RETAIL,0
72cydK34zQzVBRgUbiaBn8wSiQYzXbVMEWvAUAu6Pj3W,8,2.146334585000001,2.563156461,0.4168218760000001,4,4,0.29795510546894416,0.05635944467853249,1.8085297649847858,-0.39524186640889736,0.5189221456249999,0.954369999,1776515081,RETAIL,0
9WCEXcm9zsbMnRE123s724KTkaJ25Up8hCTEmEqc1TZn,6,2.1457623879999996,2.300397458,0.15463506999999999,5,1,0.854591981690188,0.6468771202434591,2.477704295247737,-0.31248473231328366,0.5257869971666667,0.9632168959999999,1776513583,RETAIL,0
9nUhUbhq61dw5JGtuZ9WR9YUcN2ru3Kay8dvwLPXT1TQ,8,2.145612581,2.309515243,0.16390266199999992,6,2,0.5555979089386947,0.24099544515383875,1.8568990031067987,-0.11379721151759414,0.7007506781249999,1.0201906219999999,1776430171,RETAIL,0
8CZJb9RCSREbpqXrpbbKGpS366Ea3z2keZsSnKBVvQoh,6,2.142289036,2.8138974310000004,0.6716083950000001,3,3,0.5336909015570347,0.26233388831412113,2.799865565415871,-0.6280994597573337,0.8457716666666667,1.52121,1776506983,RETAIL,0
BujFmCYnXj7Pu59pum1CX2V7JJP4A7HnDBqFnG8WWkMK,11,2.1418676089999997,3.2686542370000002,1.1267866280000005,7,4,0.996505342868998,0.11711402824290773,3.860770890937146,-0.33204670919399826,0.6721499978181819,1.533262595,1776310778,RETAIL,0
7vHwoyedUaPH5fyL6Pajsuv5HfEbq2wkcpGQYpSL6UkF,15,2.14009433,3.2563330520000004,1.1162387219999998,10,5,0.5454381216390086,0.14189358598367008,4.349334873539773,-0.3855698388150468,0.6287450032666665,2.285316206,1776507585,RETAIL,0
